,model,data,series,metrics,values
133,model_RandomForest,test,imbalanced,tp,5.0
134,model_RandomForest,train,imbalanced,tp,141.0
135,model_RandomForest,val,imbalanced,tp,22.0
136,model_RandomForest,test,imbalanced,tp,3.0
137,model_RandomForest,train,SMOTE,tp,858.0
138,model_RandomForest,val,SMOTE,tp,12.0
139,model_RandomForest,test,SMOTE,tp,3.0
140,model_RandomForest,train,SMOTE,tp,860.0
141,model_RandomForest,val,SMOTE,tp,15.0
142,model_RandomForest,test,SMOTE,tp,3.0
143,model_RandomForest,train,SMOTE,tp,856.0
144,model_RandomForest,val,SMOTE,tp,13.0
145,model_RandomForest,test,SMOTE,tp,3.0
146,model_RandomForest,train,SMOTE,tp,855.0
147,model_RandomForest,val,SMOTE,tp,9.0
148,model_RandomForest,test,SMOTE,tp,2.0
149,model_RandomForest,train,SMOTE,tp,863.0
150,model_RandomForest,val,SMOTE,tp,11.0
151,model_RandomForest,test,SMOTE,tp,2.0
152,NN_weighted,train,imbalanced,tp,170.0
153,NN_weighted,val,imbalanced,tp,35.0
154,NN_weighted,test,imbalanced,tp,11.0
155,NN_weighted,train,imbalanced,tp,171.0
156,NN_weighted,val,imbalanced,tp,34.0
157,NN_weighted,test,imbalanced,tp,10.0
158,NN_weighted,train,imbalanced,tp,171.0
159,NN_weighted,val,imbalanced,tp,36.0
160,NN_weighted,test,imbalanced,tp,9.0
161,NN_weighted,train,imbalanced,tp,171.0
162,NN_weighted,val,imbalanced,tp,30.0
163,NN_weighted,test,imbalanced,tp,9.0
164,NN_weighted,train,imbalanced,tp,171.0
165,NN_weighted,val,imbalanced,tp,35.0
166,NN_weighted,test,imbalanced,tp,10.0
167,NN_weighted,train,imbalanced,tp,171.0
168,NN_weighted,val,imbalanced,tp,30.0
169,NN_weighted,test,imbalanced,tp,13.0
170,NN_weighted,train,SMOTE,tp,774.0
171,NN_weighted,val,SMOTE,tp,29.0
172,NN_weighted,test,SMOTE,tp,12.0
173,NN_weighted,train,SMOTE,tp,756.0
174,NN_weighted,val,SMOTE,tp,24.0
175,NN_weighted,test,SMOTE,tp,12.0
176,NN_weighted,train,SMOTE,tp,766.0
177,NN_weighted,val,SMOTE,tp,33.0
178,NN_weighted,test,SMOTE,tp,14.0
179,NN_weighted,train,SMOTE,tp,394.0
180,NN_weighted,val,SMOTE,tp,20.0
181,NN_weighted,test,SMOTE,tp,6.0
182,NN_weighted,train,SMOTE,tp,796.0
183,NN_weighted,val,SMOTE,tp,24.0
184,NN_weighted,test,SMOTE,tp,11.0
185,model_XGB,train,imbalanced,fp,0.0
186,model_XGB,val,imbalanced,fp,4.0
187,model_XGB,test,imbalanced,fp,1.0
188,model_XGB,train,imbalanced,fp,0.0
189,model_XGB,val,imbalanced,fp,6.0
190,model_XGB,test,imbalanced,fp,1.0
191,model_XGB,train,imbalanced,fp,0.0
192,model_XGB,val,imbalanced,fp,5.0
193,model_XGB,test,imbalanced,fp,1.0
194,model_XGB,train,imbalanced,fp,0.0
195,model_XGB,val,imbalanced,fp,4.0
196,model_XGB,test,imbalanced,fp,2.0
197,model_XGB,train,imbalanced,fp,0.0
198,model_XGB,val,imbalanced,fp,12.0
199,model_XGB,test,imbalanced,fp,5.0
200,model_XGB,train,SMOTE,fp,1.0
201,model_XGB,val,SMOTE,fp,0.0
202,model_XGB,test,SMOTE,fp,5.0
203,model_XGB,train,SMOTE,fp,1.0
204,model_XGB,val,SMOTE,fp,0.0
205,model_XGB,test,SMOTE,fp,2.0
206,model_XGB,train,SMOTE,fp,1.0
207,model_XGB,val,SMOTE,fp,0.0
208,model_XGB,test,SMOTE,fp,2.0
