,model,tp,fp,tn,fn,bal_acc,prec,recall,pr_auc,f1,mc_coef,batch_s,data,series,probability_y,true_y
0,model_XGB,191,0,999,0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,,train,imbalanced,"[2.5265685e-03 2.2983525e-03 1.3077349e-02 ... 1.0421522e-04 1.7379874e-05
 3.4782206e-05]",[0 0 0 ... 0 0 0]
1,model_XGB,5,3,108,17,0.6001228501228502,0.625,0.22727272727272727,0.4605885055782122,0.3333333333333333,0.3129219510039962,,val,imbalanced,"[2.40012043e-04 3.37613784e-02 4.22436191e-04 1.19501282e-03
 4.19187993e-02 1.15405850e-03 1.74891684e-04 7.09493365e-03
 2.23478465e-03 5.92412829e-01 8.65136907e-02 1.76567901e-02
 6.15200028e-03 8.36066343e-03 1.11158777e-04 6.32116850e-03
 6.92152008e-02 6.13213191e-03 5.94410002e-02 9.84779652e-03
 1.77047819e-01 1.89836850e-04 3.51494038e-03 8.41312460e-04
 8.67049792e-04 6.94097439e-03 1.71315521e-02 3.56415808e-02
 3.35843506e-04 1.48003977e-02 1.21831057e-04 2.51998194e-03
 3.56442511e-01 1.48924012e-02 5.44862926e-01 1.33913913e-04
 5.16457585e-05 1.77639246e-04 1.36886118e-03 9.29400045e-03
 3.47383902e-04 1.92061518e-04 1.00916866e-02 1.15553876e-05
 6.48462956e-05 2.53722275e-04 3.62143964e-01 4.08278516e-04
 1.16472971e-03 9.47672961e-05 2.25985050e-03 1.35667801e-01
 9.63594503e-05 9.12391988e-04 4.19959222e-04 8.13727379e-01
 1.45073712e-03 8.07923451e-03 1.77443342e-03 3.59217031e-03
 3.04237736e-04 5.27450331e-02 3.17352620e-04 4.34515561e-04
 2.45301090e-02 3.14176374e-04 3.17793414e-02 1.23988686e-03
 3.32127839e-01 2.65544895e-02 4.64675063e-03 9.88128841e-01
 6.88718492e-03 4.33006771e-02 4.18338412e-03 2.60387093e-01
 4.21679905e-03 6.43938038e-05 1.20775454e-04 6.83109742e-03
 2.35241316e-02 3.21513158e-03 1.77932042e-03 2.67016912e-05
 2.26430688e-03 7.51141489e-01 1.84083819e-05 1.35640189e-01
 1.44493673e-03 3.72026376e-02 9.84273385e-03 1.13492017e-03
 3.01981539e-01 1.07702182e-03 1.28431246e-01 1.54270427e-02
 2.70209573e-02 7.61686087e-01 4.62140404e-02 2.17845067e-01
 3.30627454e-03 4.66262130e-03 1.28000692e-01 9.59643570e-04
 3.51628114e-04 6.58006296e-02 1.44345558e-03 3.67365865e-04
 2.04402295e-05 5.52305610e-05 4.75975103e-05 2.35491432e-04
 4.39073937e-03 9.69074368e-01 1.53778559e-02 1.84848352e-04
 2.34077021e-01 7.32040331e-02 1.41631230e-03 1.90677539e-01
 3.03582929e-04 3.16825724e-04 4.96966928e-01 1.34376890e-03
 5.93437590e-02 8.64984766e-02 5.14495419e-04 8.59620273e-01
 2.32796665e-04 5.46565512e-04 2.37818956e-02 6.64006919e-02
 1.52922201e-03]","[0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0
 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0]"
2,model_XGB,3,2,121,21,0.5543699186991871,0.6,0.125,0.44970441579215537,0.20689655172413793,0.2217265407661201,,test,imbalanced,"[6.69825458e-05 6.01519365e-03 8.16092361e-05 2.65183509e-04
 2.41757929e-02 3.94723425e-03 6.34482130e-05 1.23768928e-03
 1.50817912e-02 9.48629081e-02 1.97234433e-02 3.65399499e-03
 6.80124504e-05 1.85499806e-02 1.54473752e-01 1.00172288e-03
 3.13228047e-05 2.17764798e-04 3.02167922e-01 1.00787212e-04
 5.18634468e-02 7.96987768e-03 1.02110934e-02 2.28955925e-01
 8.33113585e-03 1.02568716e-02 8.78061205e-02 4.78610434e-02
 6.39122154e-05 9.76281941e-01 1.12019209e-02 2.92239187e-04
 1.08971661e-02 4.51138912e-05 1.68073028e-02 1.88362449e-02
 1.56467021e-01 7.23662437e-04 4.68010968e-03 4.24133334e-03
 3.63346888e-03 1.07362512e-02 6.79603964e-02 5.86282723e-02
 7.73099018e-04 1.40711246e-03 1.60304025e-01 1.83257856e-04
 1.40411744e-03 8.36793706e-03 2.01859139e-02 4.74659167e-03
 3.30308378e-02 3.25890374e-03 1.63914580e-02 6.28612703e-03
 2.03073323e-05 1.36767820e-04 3.55896465e-02 4.03918605e-03
 1.54702201e-01 2.38875169e-02 8.96623998e-04 1.14494659e-01
 6.76800730e-03 5.11746213e-04 1.12988129e-02 7.76694738e-04
 1.52236810e-02 3.90943052e-04 1.98773555e-02 2.78025329e-01
 3.68990091e-04 2.00108234e-02 2.12169260e-01 1.37788616e-03
 1.51718473e-02 2.32847899e-01 6.84702918e-02 9.65690851e-05
 6.46978244e-03 3.41349724e-03 1.72476918e-02 2.66441643e-01
 1.51232625e-05 9.18882042e-02 1.33471703e-02 5.11840335e-04
 1.38386771e-01 5.91670570e-04 4.36001122e-02 6.56345917e-04
 4.10300010e-04 5.71857393e-03 9.21293348e-02 1.55308866e-04
 3.58085819e-02 3.09581519e-03 5.65429404e-03 1.86100062e-02
 1.21220388e-03 4.10217280e-03 3.19031678e-04 1.75256096e-02
 5.07743936e-03 1.91795814e-03 4.21149842e-03 8.05394165e-03
 1.13516980e-04 1.46369962e-02 1.64905805e-02 2.19287463e-02
 6.35717902e-03 7.49654253e-04 4.56195418e-03 1.07133214e-03
 1.15556763e-02 2.49900594e-02 7.66596913e-01 1.17264490e-03
 5.63809508e-03 1.80219024e-01 1.04073501e-04 1.22005045e-02
 4.19731205e-03 6.28633570e-05 1.96505222e-03 5.78424990e-01
 5.52117705e-01 3.27493693e-03 9.48032721e-06 2.89420923e-03
 1.80488787e-04 9.19458687e-01 5.71411848e-03 9.92415007e-04
 1.40103686e-04 4.54784278e-03 1.13308076e-02 1.52574561e-03
 1.68365296e-02 2.77601066e-04 8.58641171e-04 9.41918138e-03
 1.50093183e-01 2.51294225e-02 9.94119328e-04]","[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 1 0 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0
 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0]"
3,model_XGB,191,0,999,0,1.0,1.0,1.0,0.9999999999999996,1.0,1.0,,train,imbalanced,"[2.2722031e-03 6.7550543e-04 2.6301160e-02 ... 4.6804991e-05 1.0447511e-03
 8.4239487e-05]",[0 0 0 ... 0 0 0]
4,model_XGB,8,1,110,14,0.6773136773136773,0.8888888888888888,0.36363636363636365,0.5924393730687478,0.5161290322580644,0.5245814931234979,,val,imbalanced,"[1.7253581e-03 9.6877778e-01 7.2967529e-02 5.7489872e-03 1.6010074e-05
 6.6754796e-02 1.3481057e-01 9.9749255e-01 2.9631867e-03 4.4985096e-05
 2.3408022e-02 6.8213311e-03 2.3770327e-04 9.3839451e-05 1.4978748e-02
 6.3292636e-03 1.2416337e-03 6.7671525e-01 7.2773285e-02 2.5745845e-04
 8.6978106e-03 4.7817780e-06 8.5360417e-03 1.1987345e-01 2.0409205e-03
 6.0275942e-03 1.1574439e-03 1.0141545e-02 2.2026552e-03 1.7940467e-02
 1.5253100e-01 1.3139241e-03 4.7395262e-03 7.2705005e-03 1.9960283e-01
 3.7139665e-02 1.5305115e-01 8.1249857e-03 4.4605864e-04 2.3043861e-03
 1.6061364e-03 3.4506354e-02 7.8598468e-06 3.5261168e-04 4.9036869e-04
 6.3736719e-01 8.4146523e-01 6.3437581e-01 1.1972414e-02 7.8365793e-03
 9.4593661e-06 3.9599059e-04 2.1930879e-03 4.2399377e-02 9.1623776e-03
 7.4325800e-02 3.4766772e-03 5.7430728e-04 1.4360480e-04 1.7431247e-03
 9.2033803e-01 1.7838206e-03 2.8967753e-03 1.8665307e-03 4.1052871e-04
 2.6264597e-02 1.7402711e-03 9.9410641e-01 3.7062156e-05 1.3449673e-03
 6.3482481e-03 4.9860105e-03 9.0920978e-04 3.7597816e-02 3.9890021e-04
 3.1715740e-02 9.7230404e-05 1.0869576e-02 6.2951888e-04 5.3041067e-04
 1.0444790e-02 1.9892197e-04 3.6507986e-02 7.4310992e-05 4.4978568e-03
 6.0433574e-04 2.8105406e-04 1.2456819e-01 4.0167693e-02 3.6579002e-02
 1.7863964e-01 6.1862438e-04 1.6576934e-03 8.4326160e-04 3.2016492e-01
 3.4168354e-01 3.6212760e-03 1.0217947e-03 8.6696928e-05 5.3258248e-02
 4.0290589e-03 1.8652141e-01 2.7344751e-04 6.9080800e-01 1.6709231e-02
 1.4061487e-03 9.2113647e-04 9.0921649e-06 1.0649957e-03 8.1417961e-03
 7.5824033e-03 5.6234030e-03 3.2220513e-04 1.0503587e-02 7.8751665e-04
 1.4111862e-02 7.2055206e-02 1.5733514e-02 9.0144929e-03 4.2712945e-02
 5.6443393e-04 1.0164300e-03 3.9255255e-01 1.0439735e-02 3.4003526e-03
 8.8544789e-04 9.1393980e-05 3.9589973e-03 9.5495738e-02 9.9301559e-04
 5.2235025e-04 1.1411162e-01 3.4922361e-03]","[0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 0 1 0 1 1 0 0 0 1 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0
 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0]"
5,model_XGB,3,1,122,21,0.5584349593495934,0.75,0.125,0.44682472236659154,0.21428571428571427,0.26549900883231786,,test,imbalanced,"[1.20236407e-04 1.63880289e-02 2.08557496e-04 2.55136780e-04
 1.47590004e-02 2.22764686e-02 4.73551991e-05 3.28488095e-04
 1.64060167e-03 1.64475590e-02 1.72197316e-02 1.10838749e-03
 2.03550386e-04 1.12762339e-02 4.87477988e-01 1.11034210e-03
 1.08160988e-04 6.64454885e-04 9.87356231e-02 6.75493939e-05
 1.50496177e-02 7.30553688e-03 1.86259355e-02 1.59799933e-01
 2.23426372e-02 1.72507064e-03 6.30815849e-02 2.02644169e-01
 1.77240418e-05 9.73943233e-01 9.46458662e-04 2.43086106e-04
 9.54406161e-04 7.53322820e-05 2.33529713e-02 5.55524090e-03
 2.20406547e-01 5.78446139e-04 9.70146060e-03 5.53766126e-03
 2.04349286e-03 1.79585144e-02 2.62399793e-01 1.89699829e-02
 4.80503077e-04 1.89304107e-03 3.60414423e-02 7.67860329e-05
 9.32807103e-03 6.49776543e-04 9.28628910e-03 2.35993136e-03
 3.16108130e-02 2.94803772e-02 2.21110135e-03 2.09161099e-02
 2.92161494e-05 9.08552902e-04 3.01384623e-03 2.73815403e-03
 5.88529781e-02 1.10565208e-01 2.23130197e-03 1.02702543e-01
 7.81803392e-03 6.15237863e-04 3.39921117e-02 2.29177950e-03
 2.25822651e-03 3.92369286e-04 1.01055525e-01 8.33636001e-02
 1.50929787e-04 6.74566999e-03 2.01461948e-02 1.58665248e-03
 1.87163602e-03 1.04116499e-01 8.78253356e-02 6.15484460e-05
 4.83735511e-03 6.90779136e-03 1.15144614e-03 1.94153234e-01
 3.65829110e-05 4.61129211e-02 7.14156602e-04 2.23910110e-03
 1.64786130e-02 1.78138632e-03 4.37103212e-02 7.47738639e-04
 6.23518485e-04 6.69380126e-04 2.57439584e-01 2.48552882e-04
 1.96161047e-01 1.54104468e-03 4.17100498e-03 1.71062853e-02
 7.14463298e-04 1.98511872e-03 1.50802909e-04 7.63091398e-03
 4.61787824e-03 8.17433652e-03 6.57704519e-03 4.55003651e-03
 1.28052838e-03 6.43355306e-03 6.36027940e-03 2.32108682e-02
 4.24650218e-03 3.32223997e-03 1.15552929e-03 1.05677033e-03
 1.21967588e-02 1.10988403e-02 8.75134349e-01 4.59710631e-04
 3.72892129e-04 1.36766106e-01 3.45349472e-05 5.34503534e-02
 2.58317571e-02 2.08276513e-04 2.00587092e-03 5.95129371e-01
 3.87982994e-01 5.23988018e-03 1.02437898e-05 4.22238314e-04
 3.93747541e-05 9.90974844e-01 5.03140986e-02 2.25098483e-04
 2.33561033e-04 7.94807170e-03 5.07810563e-02 2.47484975e-04
 2.61470992e-02 3.28586466e-04 1.97501344e-04 8.01191386e-03
 3.47806633e-01 1.14450725e-02 1.54807116e-03]","[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 1 0 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0
 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0]"
6,model_XGB,191,0,999,0,1.0,1.0,1.0,0.9999999999999996,1.0,1.0,,train,imbalanced,"[1.5480004e-03 7.6455850e-05 3.4663852e-03 ... 5.5731442e-05 3.8265876e-05
 2.0673866e-03]",[0 0 0 ... 0 0 0]
7,model_XGB,7,4,107,15,0.6410728910728911,0.6363636363636364,0.3181818181818182,0.6179323616690806,0.4242424242424242,0.38060118329965004,,val,imbalanced,"[1.62082240e-02 1.96756257e-04 1.00868912e-02 3.31142801e-03
 9.99876618e-01 7.79511094e-01 1.35667378e-03 5.30540347e-01
 2.95172166e-03 7.06868172e-02 4.56190016e-03 6.53978661e-02
 8.77364539e-03 3.88722328e-05 3.13146797e-04 7.70750549e-03
 1.59042627e-01 1.75039973e-02 1.89747252e-02 2.76267179e-04
 7.59872491e-05 1.48836598e-02 5.48678741e-04 1.81902596e-03
 1.57198403e-03 9.84540558e-04 4.72902227e-03 2.36086431e-03
 3.92296677e-03 4.13052225e-03 2.66343862e-01 1.58377923e-03
 7.99301825e-03 3.60290614e-05 2.65985094e-02 5.56158228e-03
 1.73427895e-01 4.20005759e-03 8.44507337e-01 5.17816981e-03
 3.83682037e-03 3.20707005e-03 1.33653026e-04 2.07727239e-03
 1.03352955e-02 1.74507424e-01 4.25534099e-01 2.61804629e-02
 2.83743750e-04 3.88020952e-03 2.44543776e-02 1.43261459e-05
 4.58383560e-03 1.70110688e-02 4.80455626e-03 1.23861231e-01
 9.18499708e-01 1.00019365e-03 8.56016064e-04 3.39138061e-02
 9.99954820e-01 1.76202804e-02 4.05463623e-04 1.43607834e-03
 2.82527646e-04 3.39627528e-04 4.86757653e-03 6.80118334e-04
 1.14741852e-04 8.52048863e-04 1.09733854e-04 7.72859871e-01
 1.11062648e-02 7.05246022e-03 2.26167310e-02 9.02623609e-02
 4.99474583e-04 6.34248136e-04 1.59019586e-02 4.75654053e-03
 1.97011251e-02 6.73755945e-04 1.35209330e-03 9.72130743e-04
 7.85682164e-03 2.20025510e-01 1.77143645e-02 2.22853210e-04
 1.93179235e-01 6.24570312e-05 9.52005736e-04 1.27366366e-05
 4.13272232e-02 5.06658864e-04 3.80723588e-02 8.67890776e-05
 6.50141001e-01 2.31564837e-03 7.80235529e-01 1.28266390e-03
 3.64410575e-04 2.94565549e-03 6.17815531e-05 2.74048466e-02
 4.00589692e-04 2.45639542e-03 3.63995507e-03 1.98026486e-02
 2.56986939e-03 2.14912510e-03 3.88803147e-02 4.11907174e-02
 5.96187124e-03 4.09555621e-02 6.28647860e-03 8.73614263e-05
 9.71975643e-03 3.48496041e-03 1.53141364e-03 1.17762225e-04
 2.33228238e-05 2.20451988e-02 7.81793054e-03 3.20509039e-02
 3.94250033e-04 1.48305946e-04 9.99363363e-01 2.09788047e-02
 1.73172168e-02 1.76442102e-01 8.63265574e-01 5.69250546e-02
 1.40010190e-04]","[0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]"
8,model_XGB,4,1,122,20,0.5792682926829268,0.8,0.16666666666666666,0.44537144082832936,0.27586206896551724,0.32326486317303493,,test,imbalanced,"[2.31085258e-04 4.71319072e-03 1.05682411e-04 4.31957276e-04
 3.19777289e-03 2.16167402e-02 6.53885218e-05 1.73840160e-03
 3.58668563e-04 6.64018793e-03 4.88493778e-03 2.44263723e-03
 2.90348748e-04 4.20083944e-03 3.18175584e-01 9.61514656e-04
 1.15495335e-04 1.03393279e-03 5.10566890e-01 1.66774233e-04
 5.16809039e-02 1.27087664e-02 4.29130532e-02 1.84953541e-01
 4.26309854e-02 3.76705565e-02 4.85462463e-03 5.35371378e-02
 8.27184795e-06 9.94261265e-01 5.23165753e-03 2.79063504e-04
 3.83267831e-03 1.72333312e-05 2.35840045e-02 2.02245936e-02
 8.20921138e-02 2.12954546e-04 3.29006184e-03 3.91624821e-03
 1.35709811e-02 4.41237651e-02 2.92427063e-01 2.57682316e-02
 1.35985331e-03 6.61165547e-03 2.64421523e-01 2.45396397e-04
 2.64696730e-03 6.00821259e-05 1.28951380e-02 2.13598646e-03
 5.01983427e-02 6.63310848e-03 4.24143206e-03 1.01415496e-02
 1.07913744e-04 1.87199592e-04 3.55054326e-02 7.65824597e-03
 8.71111825e-02 1.05016500e-01 2.12376239e-03 2.15101223e-02
 3.88132804e-03 1.21285347e-03 3.36441817e-03 5.09702542e-04
 9.94475372e-03 4.78178263e-04 2.05874629e-02 2.68692374e-01
 5.16705368e-05 7.45930150e-03 1.61394119e-01 3.58446571e-03
 1.49541721e-02 8.92078783e-03 4.56720553e-02 1.01403697e-04
 5.13537787e-03 3.71935479e-02 2.55124993e-03 2.06580743e-01
 7.30793909e-06 1.12700664e-01 1.04006547e-02 5.55529073e-03
 2.72294097e-02 4.92922496e-04 1.07407279e-01 3.53958370e-04
 5.70122211e-04 1.57948735e-03 1.26129761e-01 1.42954479e-04
 1.86203837e-01 3.28538212e-04 1.41155580e-02 6.07427396e-03
 8.59662611e-03 2.79084570e-03 1.71512656e-04 1.31539945e-02
 2.55943881e-03 1.56427477e-03 1.31767301e-03 5.31343743e-03
 1.08023291e-03 8.20985995e-04 2.37568170e-02 1.12169152e-02
 2.71791127e-03 7.24858884e-03 3.71351984e-04 9.56845237e-04
 7.90483784e-04 6.84005842e-02 8.29055905e-01 4.34785063e-04
 1.87852117e-03 1.21432789e-01 6.70150621e-04 4.37610149e-02
 3.09949205e-03 1.08469714e-04 9.92849586e-04 6.78138614e-01
 4.53357071e-01 1.40556693e-03 5.89397223e-06 4.59682150e-03
 6.20592546e-05 9.34007168e-01 9.51937400e-03 1.26144078e-04
 1.68177171e-03 3.22772982e-03 2.61981394e-02 2.04857031e-04
 4.23299260e-02 4.96827823e-04 1.70168129e-03 2.06033960e-02
 4.94921394e-02 1.43300034e-02 7.25008489e-04]","[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 1 0 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0
 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0]"
9,model_XGB,192,0,999,0,1.0,1.0,1.0,1.0,1.0,1.0,,train,imbalanced,"[6.0821674e-03 1.2991342e-03 9.7970024e-04 ... 1.4584687e-05 5.2048679e-04
 1.5291292e-04]",[0 0 0 ... 0 0 0]
